m_fr_sum,fr_sum,log_fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,log_num_news,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
55.2,55200000,8,1,0,3,2,0.9542425094,9,0,0,0,0,25
55.2,55200000,8,1,0,1,2,0.9542425094,9,0,0,0,0,25
1.792817,1792817,6,1,0,1,4,0.4771212547,3,0,0,0,0,25
0,0,0,3,0,14,3,0,0,0,0,1,0,25
23.90306,23903060,7,1,0,3,1,1.3424226808,22,0,1,1,0,25
0,0,0,1,0,2,1,1.8129133566,65,0,0,0,0,25
20.1,20100000,7,2,1,2,1,0.903089987,8,0,0,0,0,25
0,0,0,2,0,6,0,0,0,0,0,0,0,25
44,44000000,8,1,0,1,1,1.3222192947,21,0,1,0,0,25
183.8,183800000,8,4,1,6,2,1.5185139399,33,0,1,0,1,25
34.3,34300000,8,1,0,1,4,1.1139433523,13,1,0,0,0,25
34.3,34300000,8,3,1,5,4,1.2552725051,18,4,0,0,0,25
26,26000000,7,3,1,10,0,0,0,1,0,0,0,25
10,10000000,7,3,1,7,1,1.0413926852,11,42,0,0,0,36
4.2,4200000,7,2,1,17,0,0.84509804,7,0,1,0,1,25
0,0,0,2,1,5,0,1.4913616938,31,1,0,0,0,25
16.2,16200000,7,1,1,7,0,0,0,0,0,0,0,25
0,0,0,1,0,7,1,0,1,0,0,1,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
8.5,8500000,7,4,1,7,4,0.903089987,8,0,0,0,0,43
8.5,8500000,7,3,0,4,4,0.6989700043,5,0,0,0,0,25
7.175,7175000,7,1,1,10,2,1.3222192947,21,11,1,0,0,36
7.175,7175000,7,1,1,3,2,1.3222192947,21,2,1,0,0,25
0,0,0,1,1,10,0,0.4771212547,3,0,0,1,0,25
0,0,0,1,0,4,0,0,0,0,0,0,0,25
0,0,0,1,1,11,3,0,0,15,0,1,0,25
0,0,0,1,0,1,1,0,1,0,0,0,0,25
0,0,0,1,0,3,0,0.7781512504,6,0,0,0,0,25
5,5000000,7,1,0,1,6,0,0,0,0,0,0,25
46.77,46770000,8,1,1,7,6,1.4313637642,27,0,0,0,0,25
46.77,46770000,8,1,0,2,6,1.4313637642,27,0,0,0,0,25
